N,b1,N_ratio,lambdax,beta1,omega1,omega2,bias.reg.est,bias.fspa.est,bias.croon2.est,bias.sem2.est,bias.2spa.est,bias.2spae.est,bias.2spabart.est,bias.2spabarte.est,bias.2spauw.est,rmse.reg.est,rmse.fspa.est,rmse.croon2.est,rmse.sem2.est,rmse.2spa.est,rmse.2spae.est,rmse.2spabart.est,rmse.2spabarte.est,rmse.2spauw.est,rsb.reg.se,rsb.fspa.se,rsb.croon2.se,rsb.sem2.se,rsb.2spa.se,rsb.2spae.se,rsb.2spabart.se,rsb.2spabarte.se,rsb.2spauw.se,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,REPLICATIONS,SIM_TIME,COMPLETED,SEED,ERRORS,WARNINGS
400,0,0.6,0.7,0,0.4930704563489607,0.6068372851320363,0.001435804482028603,0.0016864038800007786,0.002070815565123525,0.0021115042828461993,0.002133479928471836,0.0021366108415746365,0.002180187331362178,0.00218682979455088,0.0018776407795227002,0.03492622445655174,0.03500507468203236,0.044061437543731354,0.04429108743387972,0.04411447011460923,0.04417741739505101,0.04504496772742769,0.045179906487689374,0.04527749312662979,0.02220078091548878,0.026016137883394245,0.02057557927021158,0.01923250536217731,0.02512099940449831,0.02512315916892389,0.02473892718812072,0.02475496850545133,0.020633357270016518,0.9476,0.9468,0.946,0.944,0.9452,0.946,0.9448,0.9456,0.95,2500,862.5,Wed Jul 27 00:56:27 2022,198300,0,0
800,0,0.6,0.7,0,0.4930704563489607,0.6068372851320363,2.8390210908194844e-4,4.401550811033452e-4,4.963292787267706e-4,5.856091053071721e-4,5.515906935876689e-4,5.519881936436173e-4,5.64729171888542e-4,5.654617437626457e-4,3.797372038533779e-4,0.025164591613324936,0.02522758977034099,0.031863198157419545,0.03186983112101596,0.03183016737729665,0.03185269229289604,0.0324595168011795,0.03250773166447273,0.03255677456335743,0.0027280392286774054,0.004876114789553688,-0.001607177288662567,5.6441475863488754e-5,0.004961566047146488,0.004960549616979985,0.004212598324450691,0.004213127521935275,0.0032222129080454426,0.9528,0.9556,0.9544,0.9536,0.9552,0.9552,0.9552,0.9552,0.954,2500,1232.3499999999995,Wed Jul 27 01:17:00 2022,198300,0,0
40,0.5,0.6,0.7,0.544539656498955,0.4930704563489607,0.6068372851320363,-0.12227877244857153,-0.15079035088699314,-0.08740655713520495,0.015142230995180663,-0.0731181409585237,-0.06525612636289439,-0.06076745186386915,-0.043041667200897964,-0.010441873366679386,0.1661762957513444,0.1965652129179368,0.17150330896158433,0.7734573091108025,0.1964742392436481,0.18948857637621544,0.17790703883080317,0.18198985856017633,0.14648587310013012,-0.030633818495685645,-0.10745459981515003,-0.1313842324717073,-0.719093015869349,-0.2583148049302962,-0.22046613252036756,-0.20662000486365514,-0.21796339408371154,-0.039230698059435694,0.8104,0.732,0.8536,0.906,0.8764,0.8768,0.854,0.8672,0.9404,2500,599.3160000000007,Wed Jul 27 01:26:59 2022,198300,57,58
80,0.5,0.6,0.7,0.544539656498955,0.4930704563489607,0.6068372851320363,-0.11857022237371691,-0.12905692722387427,-0.04311369103361999,-0.0012241576493563643,-0.033329770595145955,-0.028929178687132805,-0.01940922219706736,-0.010808447458160597,-0.00104482324771479,0.14229519913356498,0.15263332395997362,0.10686029306749832,0.10244114060734746,0.10731092289737267,0.10910678970204754,0.11155022638117303,0.11305618797020973,0.09805965591177364,-0.013244117906354162,-0.0318919218833719,-0.054882577199411066,-0.054872661035862434,-0.05028430690665104,-0.06969731795697627,-0.13165272975351597,-0.13708960990159705,0.008499137859536484,0.6912,0.6412,0.9092,0.942,0.9252,0.9288,0.9116,0.9204,0.9516,2500,603.1489999999994,Wed Jul 27 01:37:02 2022,198300,3,0
400,0.5,0.6,0.7,0.544539656498955,0.4930704563489607,0.6068372851320363,-0.12014517836724728,-0.12141486286991261,-0.01830373388239828,-0.005290684206249264,-0.012808891665182853,-0.012035729330221945,-0.0015808437230242281,5.7864307643478116e-5,0.0025130819982036473,0.12488001942293307,0.12632326226407983,0.04656280505649928,0.042906051690160006,0.04445709868932146,0.04431156474775548,0.04590554480195871,0.04606992015817039,0.04211935336921829,0.022825251048452594,0.005481587984409075,-0.0213880393842771,0.009114294808038687,0.02865749899355683,0.028445557082489584,-0.06551754443590171,-0.06639396161949684,0.0604983315376912,0.07120000000000004,0.0716,0.9236,0.9492,0.9488,0.9496,0.9372,0.9376,0.9636,2500,866.1640000000007,Wed Jul 27 01:51:28 2022,198300,0,0
800,0.5,0.6,0.7,0.544539656498955,0.4930704563489607,0.6068372851320363,-0.12080217309648204,-0.12149661024827682,-0.01670682303580661,-0.006773291741180214,-0.01160987232363459,-0.011226339510511345,-0.0012970913774294668,-4.861764268579549e-4,0.002160296085300038,0.12334008419958427,0.12411613453474801,0.035300710918253514,0.031757110166258554,0.03315881062547622,0.033050142095574477,0.03305852361700304,0.03309962785147801,0.030757238868401197,-0.01017068825767655,-0.0236817033845617,-0.04633123842977331,-0.021881753523122178,-0.0018510434714041806,-0.0019064713126624672,-0.08314016931318298,-0.08343020862782739,0.02803729133195126,0.0028000000000000247,0.0031999999999999806,0.9012,0.9404,0.9372,0.94,0.9288,0.9284,0.9532,2500,1231.7610000000004,Wed Jul 27 02:12:00 2022,198300,0,0
40,0,1,1,0,0.7060682812693717,0.773079988308397,-0.005184722538427598,-0.004712828294166931,-0.0052946654578427755,-0.005763055633730232,-0.005150197074436135,-0.005175567697553965,-0.005240741345398391,-0.0053934890534920255,-0.005643458426155823,0.11340440864740832,0.11495855458816495,0.1258375344020559,0.13378557872846084,0.12752757140800158,0.12934488237680014,0.13005853322676728,0.13411736441509833,0.13001856982028462,-0.012706565698899375,-0.01951098877602057,-2.729442148135218e-4,-0.0570681035631282,-0.020504875531869325,-0.02058011921779125,-0.025754328131931053,-0.026263781069989237,-0.018364077129049878,0.9504,0.9432,0.95,0.9328,0.9428,0.9424,0.9424,0.9424,0.946,2500,552.1149999999998,Wed Jul 27 02:21:12 2022,198300,1,8
80,0,1,1,0,0.7060682812693717,0.773079988308397,0.004168690417298197,0.004183156508124177,0.004700132085553645,0.005238577108655625,0.004609681944819249,0.004640263798049906,0.0046728783264930384,0.004738911781161618,0.004654998625448109,0.07992945311972587,0.08003054521272747,0.08882727095362143,0.09106932606230582,0.08932487167732417,0.08992842512218745,0.09073667558586226,0.0920463791885611,0.09101337936985733,-0.005806141019388845,-0.0035363323674202593,0.00505612343887889,-0.01934124551942346,-0.0033193843361139634,-0.003343211795005249,-0.00566491891153471,-0.005782832460207175,-0.005446379734785234,0.9468,0.9512,0.9524,0.946,0.952,0.9516,0.9528,0.9524,0.9484,2500,600.4459999999999,Wed Jul 27 02:31:13 2022,198300,0,0
400,0,1,1,0,0.7060682812693717,0.773079988308397,0.0012001000118238734,0.001217430894119579,0.0013069620331625927,0.0013422323470860243,0.0013673168281634767,0.0013690913208472464,0.0013816884107676316,0.0013854315953655085,0.0014132891490395802,0.035412995112623386,0.035382914475241556,0.03958481978629385,0.03977335809106909,0.03969764558154049,0.039749608560961616,0.040178565676476104,0.040288729505295044,0.040302518625342974,0.008701031364053455,0.011030877144143419,0.011953119975014827,0.007260158922767268,0.010891049144639077,0.010890952113988571,0.010501148977827626,0.010499322610037042,0.008703266810878596,0.9548,0.9576,0.9548,0.9544,0.9572,0.9572,0.9572,0.9572,0.956,2500,887.0640000000003,Wed Jul 27 02:46:00 2022,198300,0,0
800,0,1,1,0,0.7060682812693717,0.773079988308397,2.4251814073299738e-4,2.466599029266242e-4,2.7858857338447306e-4,2.737819866922878e-4,2.776948754133641e-4,2.778758829286719e-4,2.838766435353543e-4,2.842857655386322e-4,2.7380019461133246e-4,0.0251700107867872,0.025055992709974925,0.028032322622214407,0.028118097416600405,0.02812571869830857,0.028144025476188703,0.02843978631680552,0.028478436540507808,0.02864510623769951,0.0032417238255306614,0.008764813736367982,0.009902312292771285,0.006780015208279266,0.008822772345455619,0.008823223812039092,0.008765427960461538,0.008766513667404666,0.003320040947886995,0.952,0.954,0.9544,0.9528,0.954,0.954,0.9536,0.954,0.9524,2500,1248.2639999999992,Wed Jul 27 03:06:48 2022,198300,0,0
40,0.5,1,1,0.5573374202401988,0.7060682812693717,0.773079988308397,-0.07507897812351674,-0.07964787115803394,-0.035634764731513745,-0.011252610387752252,-0.029778143879141523,-0.022353270608317977,-0.020659449793806194,-0.0043697938547831655,-0.012194329111993238,0.13376702467819857,0.13844691703384499,0.1270347869246172,0.12694290465389862,0.12764250116460676,0.12800389264559064,0.12971574836175068,0.1328585374111681,0.12335400872102867,-0.02294197896871096,-0.03657575270120168,-0.06212767759283607,-0.05439621113024085,-0.030787940596980232,-0.03155254395302976,-0.10432875529965166,-0.1087455701810548,-0.003966430336454965,0.8908,0.8828,0.9264,0.9284,0.9368,0.9368,0.92,0.9196,0.9468,2500,590.3199999999997,Wed Jul 27 03:16:38 2022,198300,1,14
